name,address,industry,hourly_median_gender_gap_2018,bonus_median_gender_gap_2018
Farrer & Co LLP,"66+Lincoln's+Inn+Fields,London,United+Kingdom,WC2A+3LH",,37.5,49.7
Food Standards Agency,"Aviation+House,125+Kingsway,WC2B+6NH",,-16.7,5.5
Gardiner & Theobald LLP,"10+South+Crescent,London,United+Kingdom,WC1E+7BD",,26.0,-80.1
GREAT ORMOND STREET HOSPITAL CHILDREN'S CHARITY,"40,+Bernard+Street,+4th+Floor,London,WC1N+1LE",Other human health activities,13.9,0.0
Great Ormond Street Hospital NHS Foundation Trust,"Great+Ormond+Street,London,WC1N+3JH",,15.0,44.6
GREENERGY FLEXIGRID LIMITED,"198+High+Holborn,London,United+Kingdom,WC1V+7BD",Other business support service activities n.e.c.,29.3,-179.0
GREENERGY FUELS HOLDINGS LIMITED,"198+High+Holborn,London,United+Kingdom,WC1V+7BD",Other business support service activities n.e.c.,19.0,8.6
GREY ADVERTISING LIMITED,"The+Johnson+Building,77+Hatton+Garden,London,United+Kingdom,EC1N+8JS",Advertising agencies,24.6,45.1
HOGARTH WORLDWIDE LIMITED,"164+Shaftesbury+Avenue,London,United+Kingdom,WC2H+8HL",,22.0,20.0
Hsl (Analytics) LLP,"The+Halo+Building,1+Mabledon+Place,London,England,WC1H+9AX",,1.9,0.0
I.C.T.S. (U.K.) LIMITED,"Tavistock+House,Tavistock+Square,London,United+Kingdom,WC1H+9LG",Private security activities,-0.3,30.6
I4 PAY PARTNERS LIMITED,"71-75,+Shelton+Street,Covent+Garden,London,WC2H+9JQ",Management consultancy activities other than financial management,-10.0,-13.7
IMPERIAL LONDON HOTELS LIMITED(THE),"The+Imperial+Hotel,Russell+Square,Holborn,United+Kingdom,WC1B+5BB",Hotels and similar accommodation,-3.9,8.6
INDEPENDENT TELEVISION NEWS LIMITED,"200+Grays+Inn+Road,London,United+Kingdom,WC1X+8XZ",Television programming and broadcasting activities,18.2,50.0
ITSU LIMITED,"52-54+High+Holborn+House+High+Holborn,London,United+Kingdom,WC1V+6RL",,0.2,11.9
JOCKEY CLUB RACECOURSES LIMITED,"75+High+Holborn,London,United+Kingdom,WC1V+6LS",Operation of sports facilities,-23.0,-182.0
Kantar Media UK Ltd,"222+Gray's+Inn+Road,London,England,WC1X+8HB",Advertising agencies,-12.7,38.0
KAUTEX TEXTRON CVS LIMITED,"23+Bedford+Row,London,United+Kingdom,WC1R+4EB",Manufacture of other parts and accessories for motor vehicles,17.0,0.0
KT & T LIMITED,"88,+Kingsway,London,WC2B+6AA",,0.0,-1111.9
LAW ABSOLUTE LIMITED,"Queens+House,+55-56+Lincoln's+Inn+Fields,London,WC2A+3LJ",Temporary employment agency activities,15.4,51.2
"Le Pain Quotidien, Ltd","65+Clerkenwell+Road,3rd+Floor,London,United+Kingdom,EC1R+5BL",Licensed restaurants,-0.5,17.3
LEGGETT & PLATT COMPONENTS EUROPE LIMITED,"Second+Floor,77+Kingsway,London,United+Kingdom,WC2B+6SR",,0.0,0.0
LIME PICTURES LIMITED,"Berkshire+House,168-173+High+Holborn,London,United+Kingdom,WC1V+7AA",Television programme production activities,11.1,32.0
LINKEDIN TECHNOLOGY UK LIMITED,"77-91,+New+Oxford+Street,London,England,WC1A+1DG",Other business support service activities n.e.c.,16.7,60.4
L'OCCITANE LIMITED,"21+Bedford+Square,London,United+Kingdom,WC1B+3HH",Retail sale of cosmetic and toilet articles in specialised stores,29.0,59.2
London Borough of Camden,"Town+Hall,Judd+Street,WC1H+9JE",,-3.5,9.2
London School of Hygiene & Tropical Medicine,"Keppel+Street,London,WC1E+7HT",,9.4,50.0
MCCANN-ERICKSON ADVERTISING LIMITED,"7-11,+Herbrand+Street,London,WC1N+1EX",Advertising agencies,16.0,18.0
MEDIACOM HOLDINGS LIMITED,"124,+Theobalds+Road,London,WC1X+8RX",Advertising agencies,11.1,8.7
Metro Bank PLC,"One,Southampton+Row,London,England,WC1B+5HA",Banks,13.5,24.0
MINDSHARE MEDIA UK LIMITED,"Central+St+Giles,1+St+Giles+High+Street,London,United+Kingdom,WC2H+8AR",Advertising agencies,22.2,24.7
Mishcon De Reya LLP,"Africa+House,70+Kingsway,London,England,WC2B+6AH",,37.4,50.9
MOVING PICTURE COMPANY LIMITED (THE),"16+Great+Queen+Street,Covent+Garden,London,United+Kingdom,WC2B+5AH",Motion picture production activities,28.3,-233.2
NATIONAL CAR PARKS LIMITED,"Saffron+Court,14b+St+Cross+Street,London,United+Kingdom,EC1N+8XA",,-11.6,-100.0
National Union of Teachers,"Hamilton+House,Mabledon+Place,WC1H+9BD",Activities of trade unions,16.6,0.0
NBCUNIVERSAL INTERNATIONAL LIMITED,"1,+Central+St.+Giles,St.+Giles+High+Street,London,WC2H+8NU",Activities of head offices,6.2,-23.0
Nwlht Analytical LLP,"The+Halo+Building,1+Mabledon+Place,London,England,WC1H+9AX",,7.3,0.0
OATH (UK) LIMITED,"Shropshire+House,11+-+20+Capper+Street,London,United+Kingdom,WC1E+6JA",,23.3,33.7
ORBACH  AND CHAMBERS LIMITED,"39-41,+Parker+Street,London,WC2B+5PQ",Other publishing activities,7.4,9.7
"PALANTIR TECHNOLOGIES UK, LTD.","New+Penderel+House,+4th+Floor,+283-288+High+Holborn,London,England,WC1V+7HP",,10.0,12.0
PAPERCHASE PRODUCTS LIMITED,"12,+Alfred+Place,London,WC1E+7EB",Retail sale of newspapers and stationery in specialised stores,3.0,73.5
PERSPECTIVE RESEARCH SERVICES LIMITED,"Kingsbourne+House,229-231+High+Holborn,London,United+Kingdom,WC1V+7DA",Market research and public opinion polling,0.3,0.0
PHD MEDIA LIMITED,"The+Telephone+Exchange+5+North+Crescent,Chenies+Street,London,United+Kingdom,WC1E+7PH",Advertising agencies,2.5,0.0
REED IN PARTNERSHIP LIMITED,"Academy+Court,94+Chancery+Lane,London,United+Kingdom,WC2A+1DT",,8.0,8.0
REED ONLINE LIMITED,"Academy+Court,94+Chancery+Lane,London,United+Kingdom,WC2A+1DT",Other activities of employment placement agencies,20.0,25.0
REED SPECIALIST RECRUITMENT LIMITED,"Academy+Court,+94+Chancery+Lane,London,WC2A+1DT",,9.0,33.0
RIBBON ACQUISITION LIMITED,"26,+Red+Lion+Square,London,United+Kingdom,WC1R+4AG",Buying and selling of own real estate,2.0,71.0
RMS STAFFING SERVICES LIMITED,"Academy+Court,94+Chancery+Lane,London,United+Kingdom,WC2A+1DT",Non-trading company,0.0,10.0
Rnib Charity,"C/O+Rnib,105+Judd+Street,London,United+Kingdom,WC1H+9NE",,0.0,18.9
Royal National Institute Of Blind People,"105+Judd+Street,London,London,United+Kingdom,WC1H+9NE",,11.8,0.0
School Of Oriental And African Studies,"10+Thornhaugh+Street,London,London,United+Kingdom,WC1H+0XG",,9.6,0.0
SECRET ESCAPES LIMITED,"4th+Floor+120+Holborn,London,England,England,EC1N+2TD",Travel agency activities,32.0,66.8
SINGLE HOMELESS PROJECT(THE),"245,+Gray's+Inn+Road,London,WC1X+8QY",,-2.6,0.0
SKYSCANNER LIMITED,"Floor+6,+The+Avenue,1+Bedford+Avenue,London,United+Kingdom,WC1B+3AU",Other software publishing,26.4,18.2
SMART EDUCATION LIMITED,"26,+Red+Lion+Square,London,England,WC1R+4HQ",Temporary employment agency activities,20.4,0.0
SMIGGLE UK LIMITED,"10+John+Street,London,United+Kingdom,WC1N+2EB",Other business support service activities n.e.c.,9.8,25.0
SODEXO LIMITED,"One,Southampton+Row,London,United+Kingdom,WC1B+5HA",Activities of head offices,11.2,43.4
SPACE NK LIMITED,"5th,+Floor+Shropshire+House,11-20+Capper+Street,London,WC1E+6JA",Retail sale of cosmetic and toilet articles in specialised stores,42.2,-4.1
Sport England,"1st+Floor,+21+Bloomsbury+Street,London,WC1B+3HF",,5.8,0.0
STAFFORDSHIRE DOCTORS URGENT CARE LIMITED,"Hamilton+House,Mabledon+Place,London,England,WC1H+9BB",General medical practice activities,-1.3,0.0
T.M.LEWIN & SONS LIMITED,"6-7+St.+Cross+Street+Courtyard,London,United+Kingdom,EC1N+8UA",Retail sale of clothing in specialised stores,4.0,23.6
TECHNICOLOR VIDEO SERVICES (UK) LIMITED,"16+Great+Queen+Street,Covent+Garden,London,United+Kingdom,WC2B+5AH",Video distribution activities,8.7,40.8
TES GLOBAL LIMITED,"26+Red+Lion+Square,London,United+Kingdom,WC1R+4HQ",,20.8,73.9
The Arts Council Of England,"21+Bloomsbury+Street,London,London,United+Kingdom,WC1B+3HF",,2.6,0.0
"The Bedfordshire, Northamptonshire, Cambridgeshire And Hertfordshire Community Rehabilitation Co. Lt","One+Southampton+Row,Southampton+Row,London,United+Kingdom,WC1B+5HA",Justice and judicial activities,3.9,0.0
The British Museum,"Great+Russell+Street,London,WC1B+3DG",,-4.0,0.0
The Cumbria And Lancashire Community Rehabilitation Co. Ltd.,"One,Southampton+Row,London,United+Kingdom,WC1B+5HA",Justice and judicial activities,3.9,80.0
THE DOCTORS LABORATORY LIMITED,"The+Halo+Building,1+Mabledon+Place,London,England,WC1H+9AX",Other human health activities,5.0,0.0
The Elliot Foundation Academies Trust,"Pyramid+House,252b+Gray's+Inn+Road,London,England,WC1X+8JT",,28.9,0.0
THE IMAGINATION GROUP LIMITED,"No.25+Store+Street,South+Crescent,London,United+Kingdom,WC1E+7BL",specialised design activities,28.0,9.0
The Independent Police Complaints Commission,"90+High+Holborn,London,London,United+Kingdom,WC1V+6BH",,1.9,0.0
THE ROYAL MASONIC BENEVOLENT INSTITUTION CARE COMPANY,"60+Great+Queen+Street,London,United+Kingdom,WC2B+5AZ",Residential nursing care facilities,0.1,0.1
The Terrence Higgins Trust,"314-320+Grays+Inn+Road,London,United+Kingdom,WC1X+8DP",,4.9,0.0
TIGER RETAIL LIMITED,"2+Morwell+Street,London,United+Kingdom,WC1B+3AR",Other retail sale in non-specialised stores,0.0,0.0
TILLERY VALLEY FOODS LIMITED,"One,Southampton+Row,London,United+Kingdom,WC1B+5HA",Manufacture of other food products n.e.c.,3.2,34.5
Trades Union Congress,"Congress+House,Great+Russell+Street,London,WC1B+3LS",Activities of trade unions,0.0,0.0
Tradewind Recruitment Ltd,"Castlewood+House,77-91+New+Oxford+Street,London,United+Kingdom,WC1A+1DG",Temporary employment agency activities,14.0,45.0
TRAINLINE.COM LIMITED,"120+Holborn,London,United+Kingdom,EC1N+2TD",Other information technology service activities,23.0,-37.0
TRAVELLERS TALES (UK) LIMITED,"Warner+House,98+Theobalds+Road,London,United+Kingdom,WC1X+8WB",Other information technology service activities,21.8,9.5
TRENCHANT EMPLOYEE SERVICES LIMITED,"Whittington+House+5th+Floor,19-30+Alfred+Place+Bloomsbury,London,United+Kingdom,WC1E+7EA",Other information technology service activities,47.4,57.1
UCL,"Gower+Street,Bloomsbury,WC1E+6BT",,8.9,16.7
Unite the Union,"128+Theobalds+Road,London,WC1X+8TN",,29.6,0.0
University College Hospital NHS Trust,"Hospital/South+Side,Gower+Street,London,London,United+Kingdom,WC1E+6HH",,9.5,13.9
University of London,"Senate+House,Malet+Street,London,London,United+Kingdom,WC1E+7HU",,10.9,64.0
"University of the Arts, London","272+High+Holborn,London,WC1V+7EY",,7.1,11.1
VACHERIN LIMITED,"16-18+Hatton+Garden,London,United+Kingdom,EC1N+8AT",Other food services,8.7,11.1
VIRGIN CARE LIMITED,"Lynton+House,7-12+Tavistock+Square,London,United+Kingdom,WC1H+9LT",General medical practice activities,21.5,-3.2
VIRGIN CARE PROVIDER SERVICES LIMITED,"Lynton+House,+7-12+Tavistock+Square,London,WC1H+9LT",General medical practice activities,-0.1,-100.0
VIRGIN CARE SERVICES LIMITED,"Lynton+House,+7-12+Tavistock+Square,London,WC1H+9LT",General medical practice activities,8.5,-26.0
VISION FOR EDUCATION LIMITED,"26,+Red+Lion+Square,London,WC1R+4HQ",Temporary employment agency activities,16.7,0.0
VOCARE LIMITED,"Hamilton+House,Mabledon+Place,London,England,WC1H+9BB",General medical practice activities,-18.3,0.0
VPS (UK) LIMITED,"Third+Floor+International+Buildings,71+Kingsway,London,England,England,WC2B+6ST",Other service activities n.e.c.,-9.5,16.1
WARNER BROS. ENTERTAINMENT UK LIMITED,"Warner+House,98+Theobalds+Road,London,United+Kingdom,WC1X+8WB",Motion picture distribution activities,22.6,31.8
WARNER BROS. STUDIOS LEAVESDEN LIMITED,"Warner+House,98+Theobalds+Road,London,United+Kingdom,WC1X+8WB",Motion picture production activities,14.4,0.0
WENZELS THE BAKERS LIMITED,"C/O+Rayner+Essex+Llp+Tavistock+House+South,Tavistock+Square,London,United+Kingdom,WC1H+9LG","Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",24.0,0.0
WESTFIELD EUROPE LIMITED,"6th+Floor,Midcity+Place+71+High+Holborn,London,United+Kingdom,WC1V+6EA",,33.7,28.7
A3D2 LIMITED,"NOVUS+LEISURE+LIMITED,Third+Floor,+Clareville+House,26-27+Oxendon+Street,London,United+Kingdom,SW1Y+4EL",Licensed clubs,-7.0,-110.0
ACCURO FM LTD,"128,+Buckingham+Palace+Road,London,SW1W+9SA",Combined facilities support activities,3.0,10.0
ACTAVO NETWORK SOLUTIONS (UK) LIMITED,"83,+Victoria+Street,Victoria,London,SW1H+0HW",Other business support service activities n.e.c.,38.0,0.0
AIRWAVE SOLUTIONS LIMITED,"Nova+South,160+Victoria+Street,London,United+Kingdom,SW1E+5LB",Other telecommunications activities,18.1,41.3
Aldridge Education,"30+Millbank,London,England,SW1P+4DU",,26.2,0.0
ALPHA HEALTH CARE LIMITED,"23+Buckingham+Gate,London,England,SW1E+6LB",Other human health activities,3.1,0.0
AMERICAN EXPRESS EUROPE LLC,"Belgrave+House+76+Buckingham+Palace+Road,,London,SW1W+9AX",,14.1,24.9
AMERICAN EXPRESS PAYMENT SERVICES LIMITED,"Belgrave+House,76+Buckingham+Palace+Road,London,United+Kingdom,SW1W+9AX",Other business support service activities n.e.c.,11.9,34.1
AMERICAN EXPRESS SERVICES EUROPE LIMITED,"Belgrave+House,76+Buckingham+Palace+Road,London,United+Kingdom,SW1W+9AX",Other business support service activities n.e.c.,17.7,38.3
Anglo American Services (UK) Ltd.,"20+Carlton+House+Terrace,London,United+Kingdom,SW1Y+5AN",Other business support service activities n.e.c.,48.5,72.4
ARENA RACING CORPORATION LIMITED,"4th+Floor,Millbank+Tower+21-24+Millbank,London,United+Kingdom,SW1P+4QP",Other business support service activities n.e.c.,2.5,-5.6
ASCENSOS LIMITED,"95,+Aldwych,London,WC2B+4JF",Other telecommunications activities,0.0,67.0
ASSOCIATED BRITISH PORTS,"25+,+Bedford+Street,London,WC2E+9ES",,12.0,0.0
Association Of Chartered Certified Accountants,"The+Adelphi,1-11+John+Adam+Street,London,London,United+Kingdom,WC2N+6AU",,9.3,-12.0
BAE Systems Plc,"6+Carlton+Gardens,London,United+Kingdom,SW1Y+5AD",,15.6,27.4
BARE ESCENTUALS UK LIMITED,"Shiseido+Group+10th+Floor+The+Adelphi,1-11+John+Adam+St,London,England,WC2N+6HT",Retail sale of cosmetic and toilet articles in specialised stores,30.0,-15.2
BERENDSEN HEALTHCARE LIMITED,"1,+Knightsbridge,London,England,SW1X+7LX",,0.0,0.0
BERENDSEN HOSPITALITY LIMITED,"1,+Knightsbridge,London,England,SW1X+7LX",,0.0,0.0
BERENDSEN WORKWEAR LIMITED,"1,+Knightsbridge,London,England,SW1X+7LX",,16.2,0.0
BIRCHAM DYSON BELL LLP,"50,+Broadway,London,SW1H+0BL",,35.0,40.0
BOEING DEFENCE UK LIMITED,"25+Victoria+Street,London,United+Kingdom,SW1H+0EX",Defence activities,14.0,31.0
BP P.L.C.,"1+St+James's+Square,London,United+Kingdom,SW1Y+4PD",Activities of head offices,20.8,41.0
BPDTS,"Tothill+Street,London,SW1H+9NA",,-5.5,0.0
Braemar Shipping Services PLC,"1+Strand,Trafalgar+Square,London,United+Kingdom,WC2N+5HR",Other transportation support activities,28.7,78.5
BRIGHTON MARINE PALACE & PIER COMPANY (THE),"36,+Drury+Lane,London,WC2B+5RR",Gambling and betting activities,2.5,-5822.8
BRITISH AMERICAN TOBACCO (INVESTMENTS) LIMITED,"Globe+House,1+Water+Street,London,United+Kingdom,WC2R+3LA",Activities of head offices,31.0,34.0
BRITISH COUNCIL(THE),"10+Spring+Gardens,London,UK,SW1A+2BN",,10.9,0.0
BRITISH-AMERICAN TOBACCO (HOLDINGS) LIMITED,"Globe+House,4+Temple+Place,London,United+Kingdom,WC2R+2PG",Activities of head offices,44.0,64.0
BRYANT PARK EMPLOYEES AND SERVICES LIMITED,"C/O+Mcap+Global+Finance+(Uk)+Llp+Gordon+House,+10+Greencoat+Place,London,United+Kingdom,SW1P+1PH",Hotels and similar accommodation,0.4,4.7
BURBERRY LIMITED,"Horseferry+House,Horseferry+Road,London,United+Kingdom,SW1P+2AW",,7.8,15.9
CAFFE NERO GROUP HOLDINGS LTD,"3+Neal+Street,London,United+Kingdom,WC2H+9PU",Activities of head offices,2.6,0.0
CAPITA BIRMINGHAM LIMITED,"71+Victoria+Street,London,SW1H+0XA",Other service activities n.e.c.,-4.5,37.3
CAPITA BUSINESS SERVICES LTD,"71,+Victoria+Street,Westminster,London,SW1H+0XA",Information technology consultancy activities,30.8,63.9
CAPITA CUSTOMER MANAGEMENT LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT",,2.7,36.8
CAPITA EMPLOYEE BENEFITS (CONSULTING) LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT",Financial intermediation not elsewhere classified,35.3,95.8
CAPITA EMPLOYEE BENEFITS LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT",,9.0,0.0
CAPITA INSURANCE SERVICES LIMITED,"61-71+Victoria+Street,Westminster+London,United+Kingdom,SW1H+0XA",Other business support service activities n.e.c.,8.3,18.0
CAPITA IT SERVICES LIMITED,"71+Victoria+Street,London,SW1H+0XA",Other information technology service activities,27.6,80.2
CAPITA LIFE & PENSIONS REGULATED SERVICES LIMITED,"61-71+Victoria+Street,Westminster,London,United+Kingdom,SW1H+0XA",Financial intermediation not elsewhere classified,13.9,25.0
CAPITA LIFE & PENSIONS SERVICES LIMITED,"61-71+Victoria+Street,Westminster,London,United+Kingdom,SW1H+0XA",Life insurance,26.2,91.3
CAPITA MANAGED IT SOLUTIONS LIMITED,"71+Victoria+Street,London,SW1H+0XA",,21.5,7.9
Capita PLC,"71+Victoria+Street,London,United+Kingdom,SW1H+0XA",,42.5,87.2
CAPITA PROPERTY AND INFRASTRUCTURE LIMITED,"71+Victoria+Street,Westminster,London,United+Kingdom,SW1H+0XA",Other engineering activities,24.8,19.1
CAPITA RESOURCING LIMITED,"71+Victoria+Street,London,United+Kingdom,SW1H+0XA",Temporary employment agency activities,50.8,44.0
CAPITA RETAIL FINANCIAL SERVICES LIMITED,"71+Victoria+Street,London,United+Kingdom,SW1H+0XA",Activities auxiliary to financial intermediation n.e.c.,-2.8,-225.0
CAPITA SECURE INFORMATION SOLUTIONS LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT",,11.4,-50.7
CAPITA TRAVEL AND EVENTS LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT",Travel agency activities,21.8,52.9
Care Quality Commission,"151+Buckingham+Palace+Road,London,London,United+Kingdom,SW1W+9SZ",,-1.0,0.0
CARLUCCIO'S LIMITED,"35+Rose+Street,Covent+Garden,London,United+Kingdom,WC2E+9EB",,4.0,-6.4
CDC GROUP PLC,"123,+Victoria+Street,London,SW1E+6DE",Activities of venture and development capital companies,33.0,31.8
CEGA GROUP SERVICES LIMITED,"Standard+House,12-13+Essex+Street,London,England,WC2R+3AA",Other human health activities,9.7,16.5
Channel Four Television Corporation,"124+Horseferry+Road,London,SW1P+2TX",,24.2,28.7
CHARCOALBLUE LLP,"2,+Arundel+Street,2+Arundel+Street,London,England,WC2R+3DA",,29.9,0.0
Charles Taylor PLC,"Standard+House,12-13+Essex+Street,London,United+Kingdom,WC2R+3AA",Activities of head offices,38.1,52.2
CHRISTIE MANSON & WOODS LIMITED,"8+King+Street,St.+James's,London,United+Kingdom,SW1Y+6QT",,25.0,40.3
CITYWEST HOMES LIMITED,"21+Grosvenor+Place,London,United+Kingdom,SW1X+7EA",Management of real estate on a fee or contract basis,17.0,11.0
CMGRP UK LIMITED,"3+Grosvenor+Gardens,London,United+Kingdom,SW1W+0BD",Advertising agencies,10.0,-17.0
CNH INDUSTRIAL N.V.,"25+St.+James's+Street,London,London,United+Kingdom,SW1A+1HA",,-28.0,25.0
COLAS RAIL LIMITED,"Dacre+House,19+Dacre+Street,London,United+Kingdom,SW1H+0DJ",Construction of railways and underground railways,35.9,-4.0
CORAL RACING LIMITED,"5th+Floor+The+Zig+Zag+Building,70+Victoria+Street,London,England,England,SW1E+6SQ",Gambling and betting activities,4.0,25.0
COSINE UK LIMITED,"85+Strand,5th+Floor,London,England,WC2R+0DW",Other service activities n.e.c.,35.3,94.4
COUTTS & COMPANY,"440,+Strand,London,WC2R+0QS",Central banking,24.4,33.7
CPM FIELD MARKETING LIMITED,"85+Strand,5th+Floor,London,England,WC2R+0DW",Other service activities n.e.c.,25.5,60.4
CPM UNITED KINGDOM LIMITED,"85+Strand,5th+Floor,London,England,WC2R+0DW",Other service activities n.e.c.,6.9,23.6
DANIEL J. EDELMAN LIMITED,"Southside+105,+Victoria+Street,London,SW1E+6QT","Other professional, scientific and technical activities n.e.c.",10.4,44.2
DAVID PHILLIPS HOLDINGS LIMITED,"4th+Floor+Imperial+House,15+Kingsway,London,United+Kingdom,WC2B+6UN",Activities of head offices,-21.6,-64.5
DE BEERS UK LIMITED,"20,+Carlton+House+Terrace,London,United+Kingdom,SW1Y+5AN",Other business support service activities n.e.c.,12.7,35.2
"Department for Business, Energy & Industrial Strategy","1+Victoria+Street,SW1H+0ET",,15.0,15.0
"Department for Digital, Culture, Media and Sport","100+Parliament+Street,SW1A+2BQ",,8.2,-92.4
Department for Education,"Great+Smith+Street,London,SW1P+3BT",,5.9,0.0
Department For Exiting The European Union,"9+Downing+Street,SW1A+2AS",,8.9,0.0
Department for International Trade,"3+Whitehall+Pl,Westminster,SW1A+2AH",,2.7,3.1
Department For Transport,"Great+Minster+House,33+Horseferry+Road,London,SW1P+4DR",,22.6,22.2
Department of Health and Social Care,"39+Victoria+Street,SW1H+0EU",,13.3,10.4
Department Of Work And Pensions,"Caxton+House,6-12+Tothill+Street,SW1H+9NA",,0.0,0.0
EBURY PARTNERS LIMITED,"Third+Floor+80-100+Victoria+Street,Cardinal+Place,London,United+Kingdom,SW1E+5JL",Activities of financial services holding companies,17.0,-148.0
ECLECTIC BARS LIMITED,"36,+Drury+Lane,London,WC2B+5RR",Licensed clubs,0.7,56.2
ECONOMIST NEWSPAPER LIMITED(THE),"The+Adelphi,+1+-+11+John+Adam+Street,London,England,WC2N+6HT",,29.5,7.5
EDF TRADING MARKETS LIMITED,"80,+Victoria+Street,Cardinal+Place+3rd+Floor,London,SW1E+5JL","Agents involved in the sale of fuels, ores, metals and industrial chemicals",22.5,33.3
EEF LIMITED,"Broadway+House,Tothill+Street,London,United+Kingdom,SW1H+9NQ",Activities of business and employers membership organizations,18.4,37.0
EFFICIO LIMITED,"33,+Regent+Street,London,England,SW1Y+4NE",Management consultancy activities other than financial management,10.0,47.0
EMPIRE CINEMAS LIMITED,"63-65,+Haymarket,London,United+Kingdom,SW1Y+4RL",Motion picture projection activities,0.0,50.4
English National Opera,"London+Coliseum,St+Martins+Lane,London,United+Kingdom,WC2N+4ES",Performing arts,-1.0,0.0
ENQUEST BRITAIN LIMITED,"Cunard+House+5th+Floor,15+Regent+Street,London,United+Kingdom,SW1Y+4LR",Extraction of crude petroleum,31.6,23.1
ENTRUST SUPPORT SERVICES LIMITED,"71+Victoria+Street,London,SW1H+0XA",Financial intermediation not elsewhere classified,23.6,20.0
EQUION ENERGIA LIMITED,"Suite+1,+3rd+Floor+11-12+St.+James's+Square,London,United+Kingdom,SW1Y+4LB",,7.3,3.9
FERA SCIENCE LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT",Other research and experimental development on natural sciences and engineering,12.3,95.4
Fnz (UK) Ltd,"Suite+1,+3rd+Floor+11-12+St.+James's+Square,London,United+Kingdom,SW1Y+4LB",Financial intermediation not elsewhere classified,18.9,92.3
Foreign & Commonwealth Office,"King+Charles+Street,SW1A+2AH",,11.1,5.5
FORMULA ONE MANAGEMENT LIMITED,"No.+2+St.+James's+Market,,London,United+Kingdom,SW1Y+4AH",,26.7,18.8
FOURTH LIMITED,"90+Long+Acre,Covent+Garden,London,United+Kingdom,WC2E+9RA",Business and domestic software development,24.1,5.0
Francis Holland (Church Of England) Schools Trust(The),"35+Bourne+Street,London,United+Kingdom,SW1W+8JA",,3.9,0.0
Friends Of The Elderly,"40/42+Ebury+Street,London,United+Kingdom,SW1W+0LZ",,3.6,-100.0
Future Academies,"Pimlico+Academy,Lupus+Street,London,United+Kingdom,SW1V+3AT",,11.0,85.2
G L HEARN LIMITED,"17+Rochester+Row,London,United+Kingdom,SW1P+1QT","Other professional, scientific and technical activities n.e.c.",47.0,73.2
G4S CARE AND JUSTICE SERVICES (UK) LIMITED,"Southside,105+Victoria+Street,London,United+Kingdom,SW1E+6QT",Justice and judicial activities,2.0,32.0
G4S FACILITIES MANAGEMENT (UK) LIMITED,"Southside,+105+Victoria+Street,London,SW1E+6QT",Other business support service activities n.e.c.,0.0,66.1
G4S GOVERNMENT AND OUTSOURCING SERVICES (UK) LIMITED,"Southside,105+Victoria+Street,London,United+Kingdom,SW1E+6QT",Other business support service activities n.e.c.,4.6,30.0
G4S HEALTH SERVICES (UK) LIMITED,"Southside,105+Victoria+Street,London,United+Kingdom,SW1E+6QT",,-29.2,43.4
G4S INVESTIGATION SOLUTIONS (UK) LIMITED,"Southside,+105+Victoria+Street,London,SW1E+6QT",Investigation activities,24.6,-94.4
G4S REGIONAL MANAGEMENT (UK & I) LIMITED,"Southside,+105+Victoria+Street,London,SW1E+6QT",,20.7,32.6
Gdst Academy Trust,"100,+Rochester+Row,London,SW1P+1JP",,24.8,84.7
GENPACT (UK) LIMITED,"66,+Buckingham+Gate,4th+Floor,London,SW1E+6AU",Other business support service activities n.e.c.,43.5,54.6
Girlguiding,"17-19+Buckingham+Palace+Road,Victoria,London,SW1W+0PT",Activities of other membership organizations n.e.c.,-4.8,80.0
GLOBAL RADIO SERVICES LIMITED,"30+Leicester+Square,London,United+Kingdom,WC2H+7LA",,20.5,26.4
GLOBALGRANGE LIMITED,"58+Rochester+Row,+Westminster,London,United+Kingdom,SW1P+1JU",Hotels and similar accommodation,-1.8,13.1
GOLIN/HARRIS INTERNATIONAL LIMITED,"3,+Grosvenor+Gardens,London,SW1W+0BD",Public relations and communications activities,-4.6,25.0
GOOGLE UK LIMITED,"Belgrave+House,76+Buckingham+Palace+Road,London,United+Kingdom,SW1W+9TQ",Other business support service activities n.e.c.,16.0,27.0
Government Legal Department,"1+Kemble+Street,WC2B+4TS",,0.7,50.0
HARBOUR & JONES LIMITED,"127-133+Charing+Cross+Road,London,United+Kingdom,WC2H+0EW",,7.2,20.0
HEMPSONS LIMITED,"Hempsons+House,+40+Villiers+Street,London,WC2N+6NJ",Other business support service activities n.e.c.,30.0,63.8
HIPPODROME CASINO LIMITED,"Hippodrome+Casino+Cranbourn+Street,Leicester+Square,London,United+Kingdom,WC2H+7JH",Gambling and betting activities,4.7,0.0
HM Revenue and Customs (HMRC),"100+Parliament+Street,London,SW1A+2BQ",,12.5,0.0
HM Treasury,"1+Horse+Guards+Road,London,SW1A+2HQ",,13.7,20.0
Home Office,"Peel+Building,+Marsham+Street,SW1P+4DF",,15.1,13.0
